file,dimred_method,target_dim,min_cluster_size,min_samples,n_neighbors
worms_mapped_02_0nm_10d_1.txt,tSNE,2,10,8,
worms_mapped_02_0nm_10d_1.txt,tSNE,2,10,10,
worms_mapped_02_0nm_10d_1.txt,tSNE,2,10,12,
worms_mapped_02_0nm_10d_1.txt,tSNE,2,50,38,
worms_mapped_02_0nm_10d_1.txt,tSNE,2,50,50,
worms_mapped_02_0nm_10d_1.txt,tSNE,2,50,62,
worms_mapped_02_0nm_10d_1.txt,tSNE,2,100,75,
worms_mapped_02_0nm_10d_1.txt,tSNE,2,100,100,
worms_mapped_02_0nm_10d_1.txt,tSNE,2,100,125,
worms_mapped_02_0nm_10d_1.txt,tSNE,2,200,150,
worms_mapped_02_0nm_10d_1.txt,tSNE,2,200,200,
worms_mapped_02_0nm_10d_1.txt,tSNE,2,200,250,
worms_mapped_02_0nm_10d_1.txt,tSNE,2,500,375,
worms_mapped_02_0nm_10d_1.txt,tSNE,2,500,500,
worms_mapped_02_0nm_10d_1.txt,tSNE,2,500,625,
worms_mapped_02_0nm_10d_1.txt,tSNE,2,1000,750,
worms_mapped_02_0nm_10d_1.txt,tSNE,2,1000,1000,
worms_mapped_02_0nm_10d_1.txt,tSNE,2,1000,1250,
worms_mapped_02_0nm_10d_1.txt,tSNE,3,10,8,
worms_mapped_02_0nm_10d_1.txt,tSNE,3,10,10,
worms_mapped_02_0nm_10d_1.txt,tSNE,3,10,12,
worms_mapped_02_0nm_10d_1.txt,tSNE,3,50,38,
worms_mapped_02_0nm_10d_1.txt,tSNE,3,50,50,
worms_mapped_02_0nm_10d_1.txt,tSNE,3,50,62,
worms_mapped_02_0nm_10d_1.txt,tSNE,3,100,75,
worms_mapped_02_0nm_10d_1.txt,tSNE,3,100,100,
worms_mapped_02_0nm_10d_1.txt,tSNE,3,100,125,
worms_mapped_02_0nm_10d_1.txt,tSNE,3,200,150,
worms_mapped_02_0nm_10d_1.txt,tSNE,3,200,200,
worms_mapped_02_0nm_10d_1.txt,tSNE,3,200,250,
worms_mapped_02_0nm_10d_1.txt,tSNE,3,500,375,
worms_mapped_02_0nm_10d_1.txt,tSNE,3,500,500,
worms_mapped_02_0nm_10d_1.txt,tSNE,3,500,625,
worms_mapped_02_0nm_10d_1.txt,tSNE,3,1000,750,
worms_mapped_02_0nm_10d_1.txt,tSNE,3,1000,1000,
worms_mapped_02_0nm_10d_1.txt,tSNE,3,1000,1250,
worms_mapped_02_0nm_10d_1.txt,tSNE,4,10,8,
worms_mapped_02_0nm_10d_1.txt,tSNE,4,10,10,
worms_mapped_02_0nm_10d_1.txt,tSNE,4,10,12,
worms_mapped_02_0nm_10d_1.txt,tSNE,4,50,38,
worms_mapped_02_0nm_10d_1.txt,tSNE,4,50,50,
worms_mapped_02_0nm_10d_1.txt,tSNE,4,50,62,
worms_mapped_02_0nm_10d_1.txt,tSNE,4,100,75,
worms_mapped_02_0nm_10d_1.txt,tSNE,4,100,100,
worms_mapped_02_0nm_10d_1.txt,tSNE,4,100,125,
worms_mapped_02_0nm_10d_1.txt,tSNE,4,200,150,
worms_mapped_02_0nm_10d_1.txt,tSNE,4,200,200,
worms_mapped_02_0nm_10d_1.txt,tSNE,4,200,250,
worms_mapped_02_0nm_10d_1.txt,tSNE,4,500,375,
worms_mapped_02_0nm_10d_1.txt,tSNE,4,500,500,
worms_mapped_02_0nm_10d_1.txt,tSNE,4,500,625,
worms_mapped_02_0nm_10d_1.txt,tSNE,4,1000,750,
worms_mapped_02_0nm_10d_1.txt,tSNE,4,1000,1000,
worms_mapped_02_0nm_10d_1.txt,tSNE,4,1000,1250,
worms_mapped_02_0nm_10d_1.txt,tSNE,5,10,8,
worms_mapped_02_0nm_10d_1.txt,tSNE,5,10,10,
worms_mapped_02_0nm_10d_1.txt,tSNE,5,10,12,
worms_mapped_02_0nm_10d_1.txt,tSNE,5,50,38,
worms_mapped_02_0nm_10d_1.txt,tSNE,5,50,50,
worms_mapped_02_0nm_10d_1.txt,tSNE,5,50,62,
worms_mapped_02_0nm_10d_1.txt,tSNE,5,100,75,
worms_mapped_02_0nm_10d_1.txt,tSNE,5,100,100,
worms_mapped_02_0nm_10d_1.txt,tSNE,5,100,125,
worms_mapped_02_0nm_10d_1.txt,tSNE,5,200,150,
worms_mapped_02_0nm_10d_1.txt,tSNE,5,200,200,
worms_mapped_02_0nm_10d_1.txt,tSNE,5,200,250,
worms_mapped_02_0nm_10d_1.txt,tSNE,5,500,375,
worms_mapped_02_0nm_10d_1.txt,tSNE,5,500,500,
worms_mapped_02_0nm_10d_1.txt,tSNE,5,500,625,
worms_mapped_02_0nm_10d_1.txt,tSNE,5,1000,750,
worms_mapped_02_0nm_10d_1.txt,tSNE,5,1000,1000,
worms_mapped_02_0nm_10d_1.txt,tSNE,5,1000,1250,
worms_mapped_02_0nm_10d_1.txt,tSNE,6,10,8,
worms_mapped_02_0nm_10d_1.txt,tSNE,6,10,10,
worms_mapped_02_0nm_10d_1.txt,tSNE,6,10,12,
worms_mapped_02_0nm_10d_1.txt,tSNE,6,50,38,
worms_mapped_02_0nm_10d_1.txt,tSNE,6,50,50,
worms_mapped_02_0nm_10d_1.txt,tSNE,6,50,62,
worms_mapped_02_0nm_10d_1.txt,tSNE,6,100,75,
worms_mapped_02_0nm_10d_1.txt,tSNE,6,100,100,
worms_mapped_02_0nm_10d_1.txt,tSNE,6,100,125,
