file,dimred_method,input_dim,target_dim,min_cluster_size,min_samples,n_neighbors,noise_mult,n_points,n_clusters_orig,n_noise_orig,ARI_orig,DBCV_orig,n_clusters_embedded,n_noise_embedded,ARI_embedded,DBCV_embedded_m,DBCV_embedded_e
32_20nm_01run_10d.txt,tSNE,10,2,10,5,0,20,15564,161,0,0.2251169856247469,-0.4307632767201423,414,2174,0.0279659044355031,-0.0847832074079074,0.3322434697096068
32_20nm_01run_10d.txt,tSNE,10,2,10,8,0,20,15564,92,0,0.2108782589779431,-0.5111562314733211,245,1743,0.0382650328165854,-0.3174119205248767,0.1224727244976019
32_20nm_01run_10d.txt,tSNE,10,2,10,10,0,20,15564,59,0,0.1940921565866627,-0.5255744620272701,190,1567,0.0441173245330253,-0.4094776174855891,0.0797033802933461
32_20nm_01run_10d.txt,tSNE,10,2,20,10,0,20,15564,44,0,0.2071259903121335,-0.5640378677433691,109,1009,0.04421396638587,-0.540773454760506,0.0339890975616649
32_20nm_01run_10d.txt,tSNE,10,2,20,15,0,20,15564,36,0,0.184098283551103,-0.5840423400635248,78,1032,0.0466917325125209,-0.5754840505965801,0.0057142022661885
32_20nm_01run_10d.txt,tSNE,10,2,20,20,0,20,15564,35,0,0.1937176401861052,-0.6160125717850518,81,1696,0.0525380237059986,-0.4301721795021124,0.102749356559941
32_20nm_01run_10d.txt,tSNE,10,2,30,15,0,20,15564,26,0,0.1606504560897512,-0.5971692419082806,50,593,0.0482385181154966,-0.6856211382602235,-0.06708668094606
32_20nm_01run_10d.txt,tSNE,10,2,30,22,0,20,15564,29,0,0.2113883963255434,-0.6069350746351124,60,1364,0.0492275336946939,-0.5629830806108402,0.0011198267445141
32_20nm_01run_10d.txt,tSNE,10,2,30,30,0,20,15564,26,0,0.2040110974227426,-0.663608478990938,37,1107,0.0536707913692591,-0.6573145584388833,0.0117981720924059
32_20nm_01run_10d.txt,tSNE,10,2,40,20,0,20,15564,26,0,0.2161376709506302,-0.6288376910523519,45,1019,0.0518008988193832,-0.5843805481938806,0.0149165248326525
32_20nm_01run_10d.txt,tSNE,10,2,40,30,0,20,15564,22,0,0.1880445288382076,-0.6928944081098453,35,1070,0.0535012427204944,-0.6660477300713026,0.0226364115670511
32_20nm_01run_10d.txt,tSNE,10,2,40,40,0,20,15564,22,0,0.1937442588729095,-0.7488159942534423,28,1048,0.053769479413013,-0.6704239952730374,-0.0100918368467719
32_20nm_01run_10d.txt,tSNE,10,2,50,25,0,20,15564,20,0,0.1705082638375101,-0.6055435919852925,33,732,0.052884890634512,-0.6824488423634558,-0.0176726835580442
32_20nm_01run_10d.txt,tSNE,10,2,50,38,0,20,15564,20,0,0.180364589823481,-0.7425575923263469,26,970,0.0569506214456865,-0.704678904088239,-0.033261654150998
32_20nm_01run_10d.txt,tSNE,10,2,50,50,0,20,15564,15,0,0.1631430030521025,-0.7708204635031974,27,1606,0.0587910071907211,-0.6087356233836767,0.011651894132372
32_20nm_01run_10d.txt,tSNE,10,2,60,30,0,20,15564,19,0,0.184093723633072,-0.6994214491426053,31,1107,0.0571096040956377,-0.6734561925830646,0.0173598173737755
32_20nm_01run_10d.txt,tSNE,10,2,60,45,0,20,15564,17,0,0.1705738229155414,-0.7382650183104496,25,1503,0.0607423260886034,-0.6211869192356346,-0.0131754512887725
32_20nm_01run_10d.txt,tSNE,10,2,60,60,0,20,15564,17,0,0.1805961665911523,-0.7871047466709167,23,1749,0.0548900021646939,-0.5505676859304021,0.0234860967265809
32_20nm_01run_10d.txt,tSNE,10,2,70,35,0,20,15564,15,0,0.1637204145730602,-0.7727144906836996,27,967,0.0546614313901433,-0.7331546508862644,-0.0414704909633932
32_20nm_01run_10d.txt,tSNE,10,2,70,52,0,20,15564,13,0,0.1621622004513054,-0.7730610547745957,25,1626,0.0567004101846432,-0.588515899242505,-0.0070120185514637
32_20nm_01run_10d.txt,tSNE,10,2,70,70,0,20,15564,14,0,0.1659757253813877,-0.7594610839744612,17,1034,0.0476600066465413,-0.6487842291142879,-0.1304773225686876
32_20nm_01run_10d.txt,tSNE,10,2,80,40,0,20,15564,18,0,0.1887808538275755,-0.7585540454717519,25,1210,0.0569138185585721,-0.6676032306977275,-0.0051893766789136
32_20nm_01run_10d.txt,tSNE,10,2,80,60,0,20,15564,14,0,0.1660677755449777,-0.7623446710064201,22,1693,0.0541937461338098,-0.5716270499725861,0.0082394224210042
32_20nm_01run_10d.txt,tSNE,10,2,80,80,0,20,15564,14,0,0.1714093215303709,-0.7994793082932057,17,1196,0.0471825612328423,-0.5855721256405887,-0.1734156962404275
32_20nm_01run_10d.txt,tSNE,10,2,90,45,0,20,15564,15,0,0.1577819486144289,-0.6916401778830027,23,1375,0.0596353156023927,-0.6387370875461272,-0.0233148563275319
32_20nm_01run_10d.txt,tSNE,10,2,90,68,0,20,15564,14,0,0.1648529771443903,-0.7565786350236076,18,1249,0.0528945339696521,-0.6076560956772239,-0.0446067814109334
32_20nm_01run_10d.txt,tSNE,10,2,90,90,0,20,15564,14,0,0.167432778702902,-0.8192885043396784,21,3078,0.0636967201581193,-0.3777821816172426,0.1616717833311217
32_20nm_01run_10d.txt,tSNE,10,2,100,50,0,20,15564,12,0,0.1537661498360339,-0.725780091657598,22,1707,0.0621577097018213,-0.6227526031559517,-0.0051008231409485
32_20nm_01run_10d.txt,tSNE,10,2,100,75,0,20,15564,12,0,0.1627499345229993,-0.752979805690269,15,1143,0.0317946325768416,-0.4409828252487677,-0.1640358585955393
32_20nm_01run_10d.txt,tSNE,10,2,100,100,0,20,15564,14,0,0.163641114753706,-0.8018530019372069,23,3511,0.0816171632938393,-0.1888126956207896,0.0385212190043235
32_20nm_01run_10d.txt,UMAP,10,2,10,5,0,20,15564,161,0,0.2251169856247469,-0.4307632767201423,536,2718,0.0193870208965286,-0.1116629944307499,0.4091017736868023
32_20nm_01run_10d.txt,UMAP,10,2,10,8,0,20,15564,92,0,0.2108782589779431,-0.5111562314733211,469,3264,0.0268142986067209,-0.1082472590641253,0.4136883717748204
32_20nm_01run_10d.txt,UMAP,10,2,10,10,0,20,15564,59,0,0.1940921565866627,-0.5255744620272701,410,3517,0.0344603465438025,-0.1044991823982078,0.4260519504615878
32_20nm_01run_10d.txt,UMAP,10,2,20,10,0,20,15564,44,0,0.2071259903121335,-0.5640378677433691,230,2932,0.04331695603444,-0.2417544246104764,0.3183595281690377
32_20nm_01run_10d.txt,UMAP,10,2,20,15,0,20,15564,36,0,0.184098283551103,-0.5840423400635248,117,1984,0.0288537961941538,-0.5213088709904748,-0.099027857906785
32_20nm_01run_10d.txt,UMAP,10,2,20,20,0,20,15564,35,0,0.1937176401861052,-0.6160125717850518,165,4299,0.0430853739764042,-0.2139396917623493,0.323839009657626
32_20nm_01run_10d.txt,UMAP,10,2,30,15,0,20,15564,26,0,0.1606504560897512,-0.5971692419082806,80,1986,0.033386650683067,-0.5576627387227614,-0.1431292226826691
32_20nm_01run_10d.txt,UMAP,10,2,30,22,0,20,15564,29,0,0.2113883963255434,-0.6069350746351124,117,3742,0.0613823077607034,-0.2929199901129167,0.2863581355828111
32_20nm_01run_10d.txt,UMAP,10,2,30,30,0,20,15564,26,0,0.2040110974227426,-0.663608478990938,2,0,0.0177964926489668,-0.8787496613760039,-0.6145776553643109
32_20nm_01run_10d.txt,UMAP,10,2,40,20,0,20,15564,26,0,0.2161376709506302,-0.6288376910523519,97,3617,0.0547419858455074,-0.3308571098083138,0.2718487901083512
32_20nm_01run_10d.txt,UMAP,10,2,40,30,0,20,15564,22,0,0.1880445288382076,-0.6928944081098453,2,0,0.0177964926489668,-0.8787496613760039,-0.6145776553643109
32_20nm_01run_10d.txt,UMAP,10,2,40,40,0,20,15564,22,0,0.1937442588729095,-0.7488159942534423,59,3808,0.0744344145435574,-0.2883647450900436,0.2015737399004714
32_20nm_01run_10d.txt,UMAP,10,2,50,25,0,20,15564,20,0,0.1705082638375101,-0.6055435919852925,56,2568,0.0642338920361463,-0.4749393248515535,0.0855428333800974
32_20nm_01run_10d.txt,UMAP,10,2,50,38,0,20,15564,20,0,0.180364589823481,-0.7425575923263469,58,4176,0.0641044312701608,-0.2877447024607528,0.23457154272807
32_20nm_01run_10d.txt,UMAP,10,2,50,50,0,20,15564,15,0,0.1631430030521025,-0.7708204635031974,37,2789,0.0654171232315737,-0.3824265958920813,0.0743380548259273
32_20nm_01run_10d.txt,UMAP,10,2,60,30,0,20,15564,19,0,0.184093723633072,-0.6994214491426053,2,0,0.0177964926489668,-0.8787496613760039,-0.6145776553643109
32_20nm_01run_10d.txt,UMAP,10,2,60,45,0,20,15564,17,0,0.1705738229155414,-0.7382650183104496,44,3785,0.0727944376970337,-0.2619849802310575,0.1501004390009584
32_20nm_01run_10d.txt,UMAP,10,2,60,60,0,20,15564,17,0,0.1805961665911523,-0.7871047466709167,39,4053,0.0768002110566748,-0.2121930477673537,0.1928421543784874
32_20nm_01run_10d.txt,UMAP,10,2,70,35,0,20,15564,15,0,0.1637204145730602,-0.7727144906836996,28,2257,0.0530441068854554,-0.5863795943720504,-0.1789080407049998
32_20nm_01run_10d.txt,UMAP,10,2,70,52,0,20,15564,13,0,0.1621622004513054,-0.7730610547745957,36,3249,0.0689057641618735,-0.3303513188447075,0.180770461199737
32_20nm_01run_10d.txt,UMAP,10,2,70,70,0,20,15564,14,0,0.1659757253813877,-0.7594610839744612,24,3796,0.0911235855554417,-0.2511121733661281,0.1741542192823404
32_20nm_01run_10d.txt,UMAP,10,2,80,40,0,20,15564,18,0,0.1887808538275755,-0.7585540454717519,29,2763,0.0655712529192007,-0.4680499701715592,-0.045477605676926
32_20nm_01run_10d.txt,UMAP,10,2,80,60,0,20,15564,14,0,0.1660677755449777,-0.7623446710064201,27,3354,0.0798512130745484,-0.3355781466141031,0.0421094557733259
32_20nm_01run_10d.txt,UMAP,10,2,80,80,0,20,15564,14,0,0.1714093215303709,-0.7994793082932057,2,0,0.0032752827687127,-0.8511702534985333,-0.8501968785665307
32_20nm_01run_10d.txt,UMAP,10,2,90,45,0,20,15564,15,0,0.1577819486144289,-0.6916401778830027,32,3759,0.0776201629201763,-0.3002484116107323,0.1707436591618721
32_20nm_01run_10d.txt,UMAP,10,2,90,68,0,20,15564,14,0,0.1648529771443903,-0.7565786350236076,13,2023,0.0552329899642149,-0.5367181581395447,-0.1657907613403129
32_20nm_01run_10d.txt,UMAP,10,2,90,90,0,20,15564,14,0,0.167432778702902,-0.8192885043396784,2,342,0.020668218217536,-0.915868742201908,-0.8080917178376537
32_20nm_01run_10d.txt,UMAP,10,2,100,50,0,20,15564,12,0,0.1537661498360339,-0.725780091657598,26,2726,0.0681096470018536,-0.4499707802297371,0.0142822825576941
32_20nm_01run_10d.txt,UMAP,10,2,100,75,0,20,15564,12,0,0.1627499345229993,-0.752979805690269,2,229,0.01389353179036,-0.9168052623100388,-0.8349709540246317
32_20nm_01run_10d.txt,UMAP,10,2,100,100,0,20,15564,14,0,0.163641114753706,-0.8018530019372069,7,1357,0.0358393638893555,-0.5871698573855109,-0.4966205977124928
32_20nm_01run_10d.txt,UMAP,10,5,10,5,0,20,15564,161,0,0.2251169856247469,-0.4307632767201423,562,2677,0.02402881039601,-0.0612513398652114,0.4381587511009828
32_20nm_01run_10d.txt,UMAP,10,5,10,8,0,20,15564,92,0,0.2108782589779431,-0.5111562314733211,462,3344,0.0306871474045517,-0.0770597659501173,0.4579571010501043
32_20nm_01run_10d.txt,UMAP,10,5,10,10,0,20,15564,59,0,0.1940921565866627,-0.5255744620272701,408,3705,0.0330996016017383,-0.0670345121131337,0.4559440035850699
32_20nm_01run_10d.txt,UMAP,10,5,20,10,0,20,15564,44,0,0.2071259903121335,-0.5640378677433691,206,2820,0.0405141261433553,-0.2863415255783371,0.3729266957249801
32_20nm_01run_10d.txt,UMAP,10,5,20,15,0,20,15564,36,0,0.184098283551103,-0.5840423400635248,5,14,-0.0059749822024046,-0.6832731734513512,-0.0250302271264463
32_20nm_01run_10d.txt,UMAP,10,5,20,20,0,20,15564,35,0,0.1937176401861052,-0.6160125717850518,140,3301,0.0582024208216028,-0.2764054153211603,0.3697694223603792
32_20nm_01run_10d.txt,UMAP,10,5,30,15,0,20,15564,26,0,0.1606504560897512,-0.5971692419082806,3,0,-0.0059394599744907,-0.6858700834434546,-0.0251597411411671
32_20nm_01run_10d.txt,UMAP,10,5,30,22,0,20,15564,29,0,0.2113883963255434,-0.6069350746351124,92,2866,0.0540579461430373,-0.3611301078193479,0.2573055836283617
32_20nm_01run_10d.txt,UMAP,10,5,30,30,0,20,15564,26,0,0.2040110974227426,-0.663608478990938,2,0,-0.0025993745788707,-0.6824262736914277,0.34019680028851
32_20nm_01run_10d.txt,UMAP,10,5,40,20,0,20,15564,26,0,0.2161376709506302,-0.6288376910523519,78,2417,0.057727539230296,-0.4413607689614996,0.3347314052354105
32_20nm_01run_10d.txt,UMAP,10,5,40,30,0,20,15564,22,0,0.1880445288382076,-0.6928944081098453,2,0,-0.0025993745788707,-0.6824262736914277,0.34019680028851
32_20nm_01run_10d.txt,UMAP,10,5,40,40,0,20,15564,22,0,0.1937442588729095,-0.7488159942534423,37,2063,0.0703941359821688,-0.4787484252587968,0.2723135803418012
32_20nm_01run_10d.txt,UMAP,10,5,50,25,0,20,15564,20,0,0.1705082638375101,-0.6055435919852925,3,1,-0.0058562881274939,-0.6858257051737457,-0.0251450299271172
32_20nm_01run_10d.txt,UMAP,10,5,50,38,0,20,15564,20,0,0.180364589823481,-0.7425575923263469,40,2468,0.0690966596619453,-0.4703961206846398,0.3653555774544975
